# bin/capture-manifest scratch/work/kokkos-all-production, taken 2026-09-12 at psyclone 8f5462666b lfric_apps df61404edc: psy module, invoke, kernel, region symbol
calc_dep_pts_alg_mod_psy	invoke_18	fractional_vertical_wind_code	fractional_vertical_wind_kokkos
calc_dep_pts_alg_mod_psy	invoke_18	vert_dep_dist_lagrangian_code	vert_dep_dist_lagrangian_kokkos
calc_dep_pts_alg_mod_psy	invoke_2	calc_departure_wind_code	calc_departure_wind_kokkos
calc_dep_pts_alg_mod_psy	invoke_2	fractional_horizontal_wind_code	fractional_horizontal_wind_kokkos
calc_dep_pts_alg_mod_psy	invoke_2	hori_dep_dist_midpoint_code	hori_dep_dist_midpoint_kokkos
calc_dep_pts_alg_mod_psy	invoke_20_calc_upwind_detj_at_w2_kernel_type	calc_upwind_detj_at_w2_code	calc_upwind_detj_at_w2_kokkos
calc_dep_pts_alg_mod_psy	invoke_5	calc_departure_wind_code	calc_departure_wind_kokkos
calc_dep_pts_alg_mod_psy	invoke_5	fractional_horizontal_wind_code	fractional_horizontal_wind_kokkos
calc_dep_pts_alg_mod_psy	invoke_5	hori_dep_dist_eulerian_code	hori_dep_dist_eulerian_kokkos
calc_dep_pts_alg_mod_psy	invoke_7	extract_uv_code	extract_uv_r_double_kokkos
calc_dep_pts_alg_mod_psy	invoke_boundary_cap_vert_deppts	vert_dep_dist_boundary_code	vert_dep_dist_boundary_kokkos
calc_dep_pts_alg_mod_psy	invoke_exponential_cap_vert_deppts	vert_dep_dist_exponential_code	vert_dep_dist_exponential_kokkos
checks_and_balances_alg_mod_psy	invoke_0_limit_wind_kernel_type	limit_wind_code	limit_wind_kokkos
compute_pv_alg_mod_psy	invoke_0	sample_field_code	sample_field_r_double_kokkos
compute_pv_alg_mod_psy	invoke_1	dg_matrix_vector_code	dg_matrix_vector_r_double_kokkos
compute_sl_coefficients_alg_mod_psy	invoke_sl_cubic_coeff	compute_vertical_cubic_coef_code	compute_vertical_cubic_coef_kokkos
compute_sl_coefficients_alg_mod_psy	invoke_sl_cubic_herm_coeff	compute_vertical_cubic_coef_code	compute_vertical_cubic_coef_kokkos
compute_sl_coefficients_alg_mod_psy	invoke_sl_linear_coeff	compute_vertical_linear_coef_code	compute_vertical_linear_coef_kokkos
compute_sl_coefficients_alg_mod_psy	invoke_sl_quintic_coeff	compute_vertical_quintic_coef_code	compute_vertical_quintic_coef_kokkos
compute_total_energy_alg_mod_psy	invoke_3	compute_column_integral_code	compute_column_integral_kokkos
compute_total_mass_alg_mod_psy	invoke_0	compute_column_integral_code	compute_column_integral_kokkos
compute_total_mass_alg_mod_psy	invoke_1	dg_matrix_vector_code	dg_matrix_vector_r_double_kokkos
compute_vorticity_alg_mod_psy	invoke_2	enforce_bc_code	enforce_bc_r_double_kokkos
compute_vorticity_alg_mod_psy	invoke_2	transpose_matrix_vector_code	transpose_matrix_vector_r_double_kokkos
compute_vorticity_alg_mod_psy	invoke_3	w2_to_w1_projection_code	w2_to_w1_projection_kokkos
derive_exner_from_eos_alg_mod_psy	invoke_0_sample_eos_pressure_kernel_type	sample_eos_pressure_code	sample_eos_pressure_kokkos
diagnostic_alg_mod_psy	invoke_0_dg_matrix_vector_kernel_type	dg_matrix_vector_code	dg_matrix_vector_r_double_kokkos
diagnostic_alg_mod_psy	invoke_1	enforce_bc_code	enforce_bc_r_double_kokkos
diagnostic_alg_mod_psy	invoke_1	hydrostatic_code	hydrostatic_kokkos
diagnostic_alg_mod_psy	invoke_14_pointwise_convert_xyz2llr_kernel_type	pointwise_convert_xyz2llr_code	pointwise_convert_xyz2llr_kokkos
diagnostic_alg_mod_psy	invoke_16_split_w2_field_kernel_type	split_w2_field_code	split_w2_field_r_double_kokkos
diagnostic_alg_mod_psy	invoke_17_compute_column_integral_kernel_type	compute_column_integral_code	compute_column_integral_kokkos
diagnostic_alg_mod_psy	invoke_21_compute_column_integral_kernel_type	compute_column_integral_code	compute_column_integral_kokkos
diagnostic_alg_mod_psy	invoke_24	compute_column_integral_code	compute_column_integral_kokkos
diagnostic_alg_mod_psy	invoke_25	compute_column_integral_code	compute_column_integral_kokkos
diagnostic_alg_mod_psy	invoke_26	compute_column_integral_code	compute_column_integral_kokkos
diagnostic_alg_mod_psy	invoke_27	compute_column_integral_code	compute_column_integral_kokkos
diagnostic_alg_mod_psy	invoke_28	compute_column_integral_code	compute_column_integral_kokkos
diagnostic_alg_mod_psy	invoke_29_calc_wbig_kernel_type	calc_wbig_code	calc_wbig_kokkos
diagnostic_alg_mod_psy	invoke_5_pointwise_convert_xyz2llr_kernel_type	pointwise_convert_xyz2llr_code	pointwise_convert_xyz2llr_kokkos
dycore_constants_mod_psy	invoke_2_compute_geopotential_kernel_type	compute_geopotential_code	compute_geopotential_kokkos
